Month,DayOfMonth,DayOfWeek,PlaneAge,Distance,AirTime,DepTime,ArrTime,ArrDelay
1,3,4,10,810,116,2003,2211,-14
1,3,4,10,2283,314,734,958,-22
1,3,4,10,1521,175,1052,1603,-17
1,3,4,10,577,79,1653,1932,2
1,4,5,10,239,48,1338,1440,10
1,4,5,10,781,100,1509,1807,12
1,4,5,10,577,90,2110,2156,-4
1,4,5,10,251,45,1011,1106,1
1,4,5,10,546,87,1129,1309,-1
1,4,5,10,810,120,1837,2049,14
1,4,5,10,997,137,802,933,-2
1,5,6,10,1844,279,1405,1717,62
1,5,6,10,588,76,1808,2041,81
1,5,6,10,507,77,2109,2249,94
1,6,7,10,1037,165,1905,2111,11
1,6,7,10,1037,118,1529,1833,-7
1,6,7,10,304,56,801,806,-4
1,6,7,10,338,67,2200,2217,27
1,6,7,10,304,46,1256,1459,14
1,6,7,10,447,72,836,959,-16
1,6,7,10,447,73,1042,1226,16
1,7,1,10,451,58,1040,1252,-8
1,7,1,10,842,118,1837,2224,64
1,7,1,10,308,47,859,1002,-8
1,7,1,10,342,62,716,829,-1
1,7,1,10,1440,159,1336,1730,-10
1,8,2,10,717,110,1612,1713,-12
1,8,2,10,178,35,1154,1249,14
1,8,2,10,1073,142,1313,1542,2
1,8,2,10,1444,201,1753,2039,19
1,8,2,10,1188,168,820,1118,8
1,9,3,10,328,54,2042,2150,-5
1,9,3,10,570,91,1652,1836,-14
1,9,3,10,759,117,1909,2019,-6
1,9,3,10,1521,179,756,1320,0
1,9,3,10,271,45,1356,1554,-6
1,9,3,10,256,49,734,737,7
1,9,3,10,323,50,1619,1622,-8
1,11,5,10,718,86,832,1109,-16
1,11,5,10,670,104,1331,1523,-22
1,11,5,10,1390,198,1615,1749,-11
1,11,5,10,337,56,1830,1944,-1
1,11,5,10,491,63,1149,1305,-5
1,11,5,10,446,62,2011,2122,-13
1,11,5,10,328,42,711,805,-10
1,12,6,10,328,45,1531,1627,-13
1,12,6,10,834,99,2041,2243,-12
1,12,6,10,1073,173,1700,2011,1
1,12,6,10,2295,267,722,1504,-1
1,13,7,10,223,38,1024,1117,-3
1,13,7,10,223,42,1607,1706,-9
1,13,7,10,347,54,1141,1251,-4
1,13,7,10,1521,183,1749,2309,-6
1,13,7,10,1121,147,759,940,-25
1,13,7,10,621,92,1317,1403,-22
1,13,7,10,402,65,636,706,-19
1,13,7,10,296,43,1449,1543,-7
1,14,1,10,2027,236,1700,17,-8
1,14,1,10,251,45,629,735,5
1,14,1,10,256,45,1628,1627,-8
1,14,1,10,1107,135,1215,1556,-9
1,14,1,10,689,106,1035,1142,-8
1,14,1,10,1156,156,750,942,-28
1,15,2,10,471,74,831,959,-1
1,15,2,10,314,57,2032,2155,15
1,15,2,10,1825,233,1301,2012,12
1,15,2,10,1501,209,1030,1215,-15
1,15,2,10,443,81,730,810,5
1,16,3,10,324,51,1854,1956,16
1,16,3,10,324,57,1729,1837,22
1,16,3,10,248,48,2012,2116,11
1,17,4,10,220,41,1302,1447,47
1,17,4,10,359,48,758,857,-8
1,17,4,10,972,152,1513,1800,40
1,17,4,10,888,110,923,1226,-9
1,17,4,10,133,27,1829,1907,27
1,17,4,10,1101,136,1928,2159,14
1,17,4,10,192,30,648,733,-2
1,18,5,10,358,56,1532,1642,-3
1,18,5,10,765,133,723,847,2
1,18,5,10,223,43,1402,1500,-5
1,18,5,10,236,46,1230,1328,-2
1,18,5,10,1750,199,1857,35,-5
1,18,5,10,1750,226,920,1145,-10
1,18,5,10,373,58,1713,1824,-6
1,19,6,10,2106,293,1920,2130,-15
1,19,6,10,220,60,1733,1849,4
1,19,6,10,825,125,907,1139,29
1,19,6,10,487,64,1203,1422,22
1,19,6,10,1034,120,1447,1701,1
1,20,7,10,972,151,2100,2339,-11
1,20,7,10,256,43,605,801,-14
1,20,7,10,972,113,1815,2022,-18
1,20,7,10,989,128,1422,1746,1
1,20,7,10,423,65,1221,1348,3
1,20,7,10,1037,127,830,1152,-13
1,21,1,10,337,63,1804,1941,26
1,21,1,10,861,118,613,824,-11
1,21,1,10,511,69,2007,2227,22
1,21,1,10,174,33,1223,1313,-2
